time, Quad.IMU.AX
5.134810,0.285600
5.139810,-1.111577
5.144810,-0.248694
5.149809,-0.031641
5.154809,-0.217463
5.159809,0.145522
5.164808,0.312336
5.169808,0.061546
5.174808,-0.141010
5.179807,0.395167
5.184807,-0.159684
5.189806,0.113311
5.194806,0.529258
5.199806,-0.915439
5.204805,-0.422174
5.209805,-0.081660
5.214805,-0.177134
5.219804,0.019742
5.224804,0.332407
5.229804,0.192103
5.234803,0.220720
5.239803,-0.531110
5.244802,-0.189057
5.249802,-0.333400
5.254802,-0.384278
5.259801,-0.318538
5.264801,0.138936
5.269801,0.256044
5.274800,1.238134
5.279800,-0.012241
5.284800,0.203782
5.289799,0.440590
5.294799,-1.251978
5.299798,0.079281
5.304798,0.207057
5.309798,-0.542872
5.314797,-0.668931
5.319797,1.180108
5.324797,-0.137174
5.329796,-0.342447
5.334796,0.628086
5.339796,-0.090902
5.344795,-1.183518
5.349795,-0.579778
5.354795,0.242198
5.359794,-0.197924
5.364794,0.182437
5.369793,-0.016543
5.374793,0.240310
5.379793,-1.201892
5.384792,0.413364
5.389792,0.468323
5.394792,0.013005
5.399791,-0.650933
5.404791,0.604980
5.409791,-0.031449
5.414790,0.002066
5.419790,-0.540767
5.424789,0.520007
